labelValue	id	preferredName	targetName	userAction	localizationStatus	sourceStrategy	difficulty	systems	red	green	blue
1	lateral_ventricle	Lateral Ventricle	Left Lateral Ventricle	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	beginner	csf_spaces;ventricles	242	89	78
2	thalamus	Thalamus	Left Thalamus	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	beginner	deep_gray	78	119	242
3	caudate	Caudate	Left Caudate	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	beginner	basal_ganglia;deep_gray	242	78	146
4	putamen	Putamen	Left Putamen	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	beginner	basal_ganglia;deep_gray	182	78	242
5	globus_pallidus	Globus pallidus	Left Pallidum	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	beginner	basal_ganglia;deep_gray	136	242	78
6	third_ventricle	Third ventricle	3rd Ventricle	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	beginner	ventricles;csf_spaces;midline	78	121	242
7	fourth_ventricle	Fourth ventricle	4th Ventricle	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	beginner	ventricles;csf_spaces;brainstem	78	242	175
8	hippocampus	Hippocampus	Left Hippocampus	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	beginner	limbic	78	242	231
9	amygdala	Amygdala	Left Amygdala	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	beginner	limbic	242	113	78
10	nucleus_accumbens	Nucleus accumbens	Left Accumbens area	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	basal_ganglia;deep_gray	242	78	237
11	choroid_plexus	Choroid plexus	Left choroid plexus	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	beginner	ventricles;csf_spaces	226	242	78
12	optic_chiasm	Optic chiasm	Optic Chiasm	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cranial_nerves;skull_base	112	242	78
13	cuneus	Cuneus	Left cuneus	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	242	78	90
14	entorhinal_cortex	Entorhinal cortex	Left entorhinal	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex;limbic	143	242	78
15	fusiform_gyrus	Fusiform gyrus	Left fusiform	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	78	115	242
16	lingual_gyrus	Lingual gyrus	Left lingual	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	242	78	88
17	pars_opercularis	Pars opercularis	Left parsopercularis	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	242	224	78
18	pars_orbitalis	Pars orbitalis	Left parsorbitalis	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	242	78	158
19	pars_triangularis	Pars triangularis	Left parstriangularis	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	115	78	242
20	postcentral_gyrus	Postcentral gyrus	Left postcentral	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	242	78	133
21	posterior_cingulate_gyrus	Posterior cingulate gyrus	Left posteriorcingulate	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex;limbic	232	78	242
22	precentral_gyrus	Precentral gyrus	Left precentral	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	120	242	78
23	precuneus	precuneus	Left precuneus	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	161	242	78
24	superior_frontal_gyrus	Superior frontal gyrus	Left superiorfrontal	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	242	175	78
25	supramarginal_gyrus	Supramarginal gyrus	Left supramarginal	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	78	155	242
26	temporal_pole	Temporal pole	Left temporalpole	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	242	78	128
27	insular_cortex	Insular cortex	Left insula	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	beginner	cortex	233	78	242
28	foramen_magnum	Foramen magnum	Foramen magnum	fully_place_manually	manual_required	manual	beginner	skull_base	78	181	242
29	medulla_oblongata	Medulla oblongata	Medulla oblongata	edit_or_replace_anchor	support_anchor_needs_edit	manual_or_external_atlas	beginner	brainstem	242	96	78
30	cerebellar_tonsil	Cerebellar tonsil	Cerebellar tonsil	edit_or_replace_anchor	support_anchor_needs_edit	manual	intermediate	cerebellum	171	78	242
